beta,alpha,tau,target_Q,target_ei,target_spectral_gap,target_rwc,target_n_valid,mu_equiv,tau_comp_equiv,match_distance
0.5,0.0,0.0,0.13058022176049072,-0.4038127201599221,0.6261136351075018,0.008153752713769119,10,0.5833333333333334,0.78,0.9239803410038734
0.5,0.0,1.0,0.15557525905818428,-0.3904980370225725,0.5756870179245948,0.012758840620991894,10,0.5,1.3800000000000001,3.4288675508609576
0.5,0.0,3.0,0.18500775886280837,-0.37180496966968135,0.5214117463651131,0.016266283699475526,10,1.3333333333333333,1.34,4.40773885718924
0.5,0.5,0.0,0.09712978272365559,-0.2214983780778462,0.5831830230662545,0.012293347227137319,10,0.6666666666666666,0.17999999999999997,11.443798097167196
0.5,0.5,1.0,0.10592781941751465,-0.3495908860954543,0.5300398940959652,0.021512363554370792,10,1.0,0.26,1.4157611904704968
0.5,0.5,3.0,0.09902554000035256,-0.5228659601438366,0.5001504654373727,0.029879405151152078,10,0.9166666666666666,1.5,1.4310212802430708
0.5,1.0,0.0,0.09141292217344345,-0.4005285125828224,0.5598763293572422,0.020073981931699833,10,0.6666666666666666,1.26,2.162380022460553
0.5,1.0,1.0,0.13768037264238023,-0.3973172103409182,0.5178871001399339,0.032841080916462755,10,1.0833333333333333,1.22,4.317142514161855
0.5,1.0,3.0,0.10944512277074925,-0.6251909584478533,0.49654307644198636,0.04148071622690573,10,1.0833333333333333,1.38,2.156201464533261
0.5,2.0,0.0,0.04995333872535481,-0.7014782923994358,0.6169427104505065,0.014178435083441167,10,0.6666666666666666,0.78,2.649312105098196
0.5,2.0,1.0,0.08465076760565823,-0.5727024918506491,0.5932946336792346,0.019994161806056423,10,0.5833333333333334,1.02,2.497654143695153
0.5,2.0,3.0,0.07449341650213928,-0.6532216221542512,0.5811304350318633,0.02149905951224463,10,0.3333333333333333,1.22,3.206762620126939
0.5,3.0,0.0,0.024264535695584944,-0.5709728178679475,0.7082434688674459,0.004461849137079832,10,0.25,0.21999999999999997,3.0298367719403307
0.5,3.0,1.0,0.030158016792411195,-0.49326207105725084,0.703192208873755,0.0016523828450317561,10,0.25,0.21999999999999997,3.716934325019972
0.5,3.0,3.0,0.019360449750459342,-0.6672107418760465,0.7030340481243254,0.003982911289117916,10,0.25,0.3,3.952164807368215
0.5,5.0,0.0,0.00417129759603978,-0.2953051411865349,0.8407028700402452,9.159895061591761e-5,10,0.3333333333333333,0.21999999999999997,51.630804348976504
0.5,5.0,1.0,0.005564659184806456,-0.27787274980206356,0.8469983294425095,0.00013572920830869548,10,0.25,0.5,48.36774935128835
0.5,5.0,3.0,0.0031768262381858996,-0.24081899768509882,0.8527422293731082,0.00021313952987862662,10,0.25,0.17999999999999997,54.77224316296384
1.0,0.0,0.0,0.17367331633548216,-0.3880044813184732,0.47423765721827077,0.0132995272306319,10,0.3333333333333333,0.9400000000000001,0.7517878598203667
1.0,0.0,1.0,0.20143920128349785,-0.3811290860567136,0.41695024751544063,0.017128025134674107,10,0.5833333333333334,1.18,0.987865710707932
1.0,0.0,3.0,0.2477670622558347,-0.3799433357656732,0.34256679425357384,0.03359941733744224,10,0.3333333333333333,1.62,4.04102418677837
1.0,0.5,0.0,0.1965140060666827,-0.4299361281851362,0.3600645566325151,0.0455478762898426,10,1.0,0.46,2.692112064262651
1.0,0.5,1.0,0.26477309353353606,-0.5398913260591668,0.2897779267916651,0.0837726086322802,10,1.0833333333333333,0.42000000000000004,3.065674945005094
1.0,0.5,3.0,0.302875059844269,-0.6114941274978141,0.25179202245150084,0.1126153889920238,10,1.4166666666666667,1.3,5.034301918150551
1.0,1.0,0.0,0.27123065250846967,-0.5575003379680461,0.29188490865116246,0.07942229957978972,10,1.0833333333333333,0.42000000000000004,3.0784108657315605
1.0,1.0,1.0,0.32243504814343005,-0.6579878191797328,0.24644233910202695,0.1204950399550088,10,1.5,0.78,5.513322127857484
1.0,1.0,3.0,0.320213728807121,-0.7420769026474496,0.22264494937965212,0.15310872897499495,10,1.5,0.74,4.363609779440229
1.0,2.0,0.0,0.28279910889096865,-0.6748645309969401,0.28625030980586874,0.08340124914730283,10,1.0,0.21999999999999997,3.8034871375851647
1.0,2.0,1.0,0.34617100849760485,-0.703014007225681,0.25168301712357255,0.11477204716196907,10,1.4166666666666667,0.66,11.337300384383713
1.0,2.0,3.0,0.36003809493827654,-0.7293908927796936,0.23916078387962325,0.13510011220822102,10,1.3333333333333333,0.42000000000000004,10.363942072127605
1.0,3.0,0.0,0.3000427503945721,-0.6099083117713653,0.3381926854607116,0.06077280112228296,10,0.9166666666666666,0.21999999999999997,4.564875033970983
1.0,3.0,1.0,0.32473196064693155,-0.659648198188763,0.310767740095813,0.07856586937853838,10,1.0,0.17999999999999997,7.29613565214859
1.0,3.0,3.0,0.3365806185720218,-0.6774696937765222,0.29367358513187797,0.08837055889062803,10,1.0,0.17999999999999997,5.331933695672738
1.0,5.0,0.0,0.2070908160095728,-0.42186876831968645,0.4749905378013639,0.02284314749360742,10,0.3333333333333333,0.9800000000000001,4.197942289394674
1.0,5.0,1.0,0.1375893915064732,-0.5819038071801342,0.4626001367281378,0.019060792611558474,10,0.5,0.9400000000000001,0.8925899437744422
1.0,5.0,3.0,0.05639198856502622,-0.8155192775216943,0.4568730714023833,0.017550190756201872,10,0.5,0.9400000000000001,2.0846003017086145
2.0,0.0,0.0,0.25334562488822143,-0.485318470144201,0.25662943561245777,0.0356654904150049,10,0.5833333333333334,0.7,0.32042271938616224
2.0,0.0,1.0,0.28586048775391004,-0.5046241554975458,0.2205984973863878,0.048337433281867695,10,0.4166666666666667,1.02,0.9146953944878847
2.0,0.0,3.0,0.34278609494555595,-0.5952368576188174,0.15537637978432817,0.11552069279536314,10,0.9166666666666666,1.1,1.8517585542202413
2.0,0.5,0.0,0.32592953890220544,-0.6314354648382698,0.15129961867135652,0.12731566432269,10,0.9166666666666666,0.9,0.9579046948616544
2.0,0.5,1.0,0.3850830059498496,-0.7713540856452905,0.10289355555265427,0.2329800138787344,10,1.0,0.46,0.7460845155582355
2.0,0.5,3.0,0.41784305531608784,-0.8377174069541609,0.07005358187564932,0.34710388882810517,10,1.4166666666666667,0.9800000000000001,1.3110754693682225
2.0,1.0,0.0,0.4058720481572376,-0.80176025499477,0.09387859883040603,0.24238591331337966,10,1.4166666666666667,1.14,3.05576594794782
2.0,1.0,1.0,0.4423850852456669,-0.8907774973128244,0.06647197470685787,0.35881464749967484,10,1.0833333333333333,0.38,1.2401441396458905
2.0,1.0,3.0,0.45783859181803244,-0.9296547530741679,0.04837191629606907,0.4735706229771245,10,1.5,0.7,3.005493832263943
2.0,2.0,0.0,0.4300829767597968,-0.875242358937296,0.06736556600868354,0.3388054282649029,10,1.0833333333333333,0.42000000000000004,0.8302645688729268
2.0,2.0,1.0,0.4586903635530297,-0.9285726865119879,0.05108004923693906,0.4526170842198015,10,1.5,0.74,3.742775483016305
2.0,2.0,3.0,0.4711767532663237,-0.9481996694119715,0.041683706265348584,0.531889963695201,10,1.3333333333333333,0.5,4.127841060820131
2.0,3.0,0.0,0.43954801734026405,-0.890645726719859,0.07012543769733885,0.33360621249013944,10,1.0833333333333333,0.42000000000000004,0.6136121068975343
2.0,3.0,1.0,0.4613547332516828,-0.934248733328839,0.05479652067619155,0.43281256047868766,10,1.0833333333333333,0.3,2.6409896097044303
2.0,3.0,3.0,0.468465392726061,-0.946589474437137,0.0468783316061905,0.4961411306962785,10,1.25,0.42000000000000004,3.662038693250346
2.0,5.0,0.0,0.4389130791694641,-0.8877889384632205,0.09414423422939552,0.25575547069688104,10,0.8333333333333334,0.17999999999999997,1.7405164906151265
2.0,5.0,1.0,0.445714381903979,-0.9047461373888692,0.08099775494673066,0.3067465913723302,10,0.9166666666666666,0.21999999999999997,2.6919502654407967
2.0,5.0,3.0,0.4565416314392171,-0.9233856918505277,0.07043842191257829,0.3547627806706094,10,1.0,0.26,5.316901387972674
