trial,sigma,beta,min_increment,max_increment,S_alpha0,S_alpha_end,success
1,1.203476098514087,1.460949033669342,0.3210664508693748,0.5167102455285506,1.6412580456687667,3.742592105766629,true
2,0.8793938266908506,2.561731024161501,0.3045028574300055,0.5918350284335374,2.104008960782782,4.441374897228506,true
3,0.7644674460901961,1.5089888218422036,0.1380700315448169,0.33279205981839843,1.0769655901185227,2.1628782589755606,true
4,0.7137665381521323,0.6055061757259219,0.04121947157506756,0.10641502659343416,0.4031782938678423,0.7796831824321677,true
5,0.70191762867851,1.2533835299491205,0.08633843392635332,0.2312712910737751,0.8237433562075459,1.576536370524875,true
6,0.8094708882254624,1.8240654000472238,0.17821242925915737,0.377136809259381,1.3817629476333302,2.8040425266943525,true
7,1.075155547466258,1.9684059520300465,0.41635581352210727,0.5966281044577193,1.9787844091185383,4.3946004272026125,true
8,0.8324006358367781,1.9076208126032081,0.19919251862974985,0.4109921754750885,1.4841422909665447,3.050808787240864,true
9,1.003081011450108,0.6776427571098107,0.11614226917600545,0.18334991931741307,0.6331966123085465,1.38204567289433,true
10,1.1245276867520881,1.499237917804354,0.3399326873864208,0.45393872547216807,1.5765616000491485,3.5438239125832474,true
11,0.9470125320108578,0.9943813436470204,0.13328138378712162,0.2715340171000131,0.8802826897181841,1.8975333153264067,true
12,1.1320664366178486,2.2925898828678624,0.5105035790363663,0.6617322630368081,2.4346164419233096,5.469447427009013,true
13,1.139594246718374,1.97202922963013,0.4346284666054063,0.6079338477085274,2.096696573956308,4.790469700844367,true
14,1.2569286307691994,2.2137140442234027,0.540138149762706,0.8775469636106275,2.6084549576737617,6.032207551238532,true
15,1.4620601826923407,1.9559881458896433,0.5152720474225925,1.1483881134725515,2.6528602276819155,6.40410000070383,true
16,1.021617958057076,2.329112972869504,0.39116678342737465,0.6128830352646037,2.217840985973,4.846496820063047,true
17,0.8713018857458292,2.569238677146235,0.2925355511478718,0.55801395030353,2.094510733120792,4.33409704623449,true
18,0.8042847609545949,2.714434848232234,0.2697579197544204,0.6029438616463638,2.0413277799663656,4.19283885083783,true
19,1.2180015935037165,1.1860814485742772,0.2736716266973085,0.4278830837610901,1.3493244861207816,3.100918503705042,true
20,1.0457809468006265,1.4186264010434,0.2482105908322252,0.39304758709570775,1.3808787654600456,3.0761091811717995,true
21,1.0495658199176208,1.309374181903013,0.2488117042371274,0.35308035855481457,1.2868533754671392,2.8742454808122773,true
22,1.0224605657408985,1.4966897523851121,0.24755088481888166,0.38922494137575514,1.4328689787978006,3.133047696745103,true
23,1.276462380762581,0.38886543871244716,0.0993051615087357,0.15931167455719625,0.46424831268678163,1.0776776776102035,true
24,1.460528052370939,2.8800020648146707,0.6236747173827961,1.681005529104687,3.943610863610883,9.332281722805675,true
25,0.7674301209354938,0.9184801502343707,0.07962922784071713,0.17704907348843268,0.6607037072550063,1.3059219639346902,true
26,1.2183233095119552,1.3404512762322485,0.3381053845747779,0.4917650972134415,1.517905558657844,3.4927697235239847,true
27,1.3318331002691168,2.175525253820851,0.4589082393181494,0.9989335883830233,2.7000457808360725,6.292691929495415,true
28,1.469111459889372,1.4037392218135711,0.2836068809187058,0.8193103858859001,1.9218537441440462,4.544966293107398,true
29,1.2580631539991047,1.882160522127262,0.42011292405578793,0.7244032049593421,2.2207557557355924,5.155357549869724,true
30,1.2450291576708832,2.0858871116962567,0.5806718585400836,0.7907177923624689,2.42918006611829,5.651252833293068,true
31,0.8745214569741351,2.3428222630797935,0.2908525007379956,0.5482332224823669,1.917508763610101,4.0486866895866065,true
32,0.7980936965404841,0.2985379329870818,0.027220081818350284,0.06240733592506098,0.22297391788047072,0.4533220952267104,true
33,0.7102064640840535,1.2159066143738202,0.08710951016346935,0.22244200082520793,0.8065738805677496,1.565269647538979,true
34,1.4047645999757223,1.9382279120649977,0.3646906419727305,1.0445340149896567,2.5344663484921495,5.98360514508939,true
35,1.0142720681469073,1.3651334365628263,0.22901437177242623,0.3623035057933781,1.292290195460519,2.8569157465729527,true
36,1.086286487223557,2.960009493672407,0.5746165406638126,0.8232222170700467,2.999696837450657,6.672678071089106,true
37,1.0039703883063282,1.4263710617673686,0.22897578976501576,0.39306652003449294,1.3338542031140146,2.9277359330988753,true
38,1.093304907994372,0.4387584478083497,0.0891958442645312,0.13210495059585425,0.44739574548116035,0.9957825209507017,true
39,0.730847830380712,0.3853153156682555,0.030468251697646498,0.07806572433933473,0.26310706163518843,0.5158104618253538,true
40,1.0425768876215653,0.22486920237115282,0.043488195405916974,0.06042850850401982,0.21910332965495904,0.4819743392648918,true
41,0.727209116405182,0.6782121277673449,0.05105049372517678,0.1271545319270746,0.46090478813821856,0.8963563718782508,true
42,1.4246264080319402,1.7204044450678067,0.29827398936617744,0.9316763381000652,2.2880775428891718,5.3618125630766205,true
43,1.4335574499577575,0.21398720208138908,0.049518220363303,0.11889772362568723,0.28716049951387806,0.6819592341412487,true
44,1.235425745839576,2.969621422067217,0.7657603225421923,1.1052219139772057,3.4298589216128845,8.016088164020399,true
45,0.9512468503915853,1.8237715872467615,0.26969429771411146,0.48963760501489606,1.6258116930323292,3.5164202682627677,true
46,1.3957799135855207,0.49971386835555187,0.09367773169547,0.25603341350911113,0.6507624629201385,1.519310808757409,true
47,1.232259090471981,2.317547466905345,0.5416687251339276,0.8503829572091015,2.671525191065961,6.10102372305879,true
48,1.2095581524412218,2.831917681323496,0.5350880875997532,1.0210446140197331,3.1944531390110957,7.2558516727661875,true
49,1.1987740436896657,0.4532504871188683,0.09983657732705875,0.16098169760249115,0.5084108424276749,1.1596886595019815,true
50,1.2314070968379922,0.22942302797512606,0.05612676972719832,0.08454689623356426,0.26400234823279695,0.6093607886770861,true
51,0.7996877130894056,1.9138245139873429,0.18763416303213454,0.43533616827914656,1.4261201663402954,2.895015026704388,true
52,0.7678844732216491,2.512749669250612,0.2190262736725952,0.5128660434960373,1.8069311718317265,3.624230816269156,true
53,1.27471957765869,2.3472242985257425,0.5762211736422049,0.948248772079868,2.8095902459704365,6.491498671880298,true
54,0.7758843284687439,0.5598449314381064,0.04802669918907848,0.11320411342014225,0.4058470858851109,0.8026116593447923,true
55,1.4382772233072283,2.0162686753331096,0.5755471730326454,1.0943437884670488,2.717398321634256,6.509427036208017,true
56,0.9246992517798269,2.997995275475537,0.40206369547898424,0.7474793181005426,2.590841339423247,5.598343858306956,true
57,1.090182623798729,0.6702981889661497,0.13477902939112008,0.18956582621735052,0.6828054515911189,1.5341633448503897,true
58,1.4465387234239255,1.3209894457233338,0.31867564177813845,0.7483451393803096,1.7781168583020261,4.257175775728593,true
59,1.4978129220427883,0.8708372363623702,0.20304832219550484,0.5336293965933232,1.2177891134173877,2.9002038312034237,true
60,0.7709213314286593,2.2533938605997914,0.189308043173388,0.4478286163493044,1.6257651830673576,3.2383017276110486,true
